Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.153.057-5,ANDRU,CORP.,SPA,2025-07-24,,
104420,77.153.086-9,2025-07-24,,,,
104421,77.153.095-8,TRILOGÍA,MARINA,SPA,2025-07-24,
TRES,ANTONIOS,ZBM,,,,
104422,77.153.105-9,2025-07-24,,,,
104423,77.154.071-6,SANTA,ROSA,SPA,2025-07-24,
104424,77.156.373-2,BMC,PRO,SPA,2025-07-24,
104425,77.156.627-8,2025-07-24,,,,
104426,77.157.406-8,ROLLER,DEL,LAGO,SPA,2025-07-24
DAVIDSON,ELTIT,Y,,,,
104427,77.158.517-5,2025-07-24,,,,
104428,77.159.307-0,MANANTIALES,DE,2025-07-24,,
104429,77.159.388-7,CAMIONETAS,MINERAS,2025-07-24,,
