Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
SOCIEDAD,DE,INVERSIÓN,NUEVOS,AIRES,DE,PUCÓN,LIMITADA,2025-07-24
75691,GATICAR,SPA,2025-07-24,,,,,
75692,FREST,SPA,2025-07-24,,,,,
75693,envasadora,y,comercializadora,matias,contreras,all,2025-07-24,
75694,MARYUN,Seguridad,Industrial,2025-07-24,,,,
75695,SOCIEDAD,COMERCIAL,HERMANOS,FUENTES,DÍAZ,LIMITADA,2025-07-24,
75696,RENOVARKOS,INGENIERÍA,Y,CONSTRUCCIÓN,SPA,2025-07-24,,
75697,PATRICIA,NAVARRETE,PRODUCCIONES,Y,COMPANIA,LIMITADA,2025-07-24,
75698,VÉLIZ,PIZARRO,SPA,2025-07-24,,,,
77.619.347-,"DISTRIBUIDORA,",COMERCIALIZADORA,Y,SERVICIOS,UP,,,
K,GLOBAL,SPA,,,,,,
75700,EMPRESA,DE,CONSTRUCCIÓN,Y,REMODELACIÓN,SPA,2025-07-24,
75701,TRANSPORTES,MAKOR,SPA,2025-07-24,,,,
