Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.467.248-6,CONSTRUCTORA,ALBORADT,LIMITADA,2025-07-24,,,,
TRANSPORTE,Y,COMPRAVENTA,DE,INSUMOS,,,,
71931,76.380.411-9,2025-07-24,,,,,,
IVAN,EUGENIO,C,,,,,,
71932,77.653.768-3,COMERCIALIZADORA,GUITARSTORE,SPA,2025-07-24,,,
71933,77.476.826-2,AUSO,CAPACITACIONES,SPA,2025-07-24,,,
MELISSA,TIARE,VELÁSQUEZ,CHICAHUAL,,,,,
71934,76.759.797-5,2025-07-24,,,,,,
AGRICOLA,Y,TRANSPORTES,E.I.R.L.,,,,,
71935,76.380.729-0,Otec,Global,Capacitaciones,Limitada,2025-07-24,,
71936,77.654.184-2,PEREZ,BRAVO,SPA,2025-07-24,,,
71937,77.408.910-1,SOC.,HQ,DIGITAL,LIMITADA,2025-07-24,,
71938,77.374.224-3,SOCIEDAD,DE,INVERSIONES,MAPÚ,NEWEN,SPA,2025-07-24
71939,76.381.777-6,equipamiento,san,andres,ltda,2025-07-24,,
71940,76.935.153-1,CONSTRUCTORA,SAN,CUSTODIO,SPA,2025-07-24,,
71941,77.654.237-7,CONSULTORÍA,Y,CAPACITACIÓN,BUCALEMU,SPA,2025-07-24,
