Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
GSM,INDUSTRIAL,SPA,,,
BARUC,&,ASOCIADOS,,,
105401,77.721.191-9,2025-07-24,,,
105402,77.721.329-6,GRUPO,REBO,SPA,2025-07-24
105403,77.721.703-8,MUSIC,PARTNER,SPA,2025-07-24
105404,77.722.309-7,2025-07-24,,,
105405,77.722.523-5,SUSTENTABLES,NICOLAS,2025-07-24,
SILVA,FONTAINE,E.I.R.L.,,,
105406,77.722.679-7,ASESORES,2025-07-24,,
RICARDO,DE,POL,Y,,
105407,77.722.748-3,2025-07-24,,,
105408,77.724.924-K,2025-07-24,,,
105409,77.725.838-9,TAURO,CURICÓ,SPA,2025-07-24
105410,77.725.919-9,BETSAN,SPA,2025-07-24,
