Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.273.762-9,LA,PICÁ,DEL,TATA,SPA,2025-07-24
69680,77.406.578-4,MDA,&,CIA.,SPA,2025-07-24
69681,76.279.670-8,2025-07-24,,,,
69682,76.637.087-K,GOLDEN,SOLUTIONS,SPA,2025-07-24,
69683,77.865.884-4,DAUS,SPA,2025-07-24,,
69684,77.273.885-4,2025-07-24,,,,
"RUSTICO,",MINIMARKET,Y,,,,
69685,77.344.062-K,2025-07-24,,,,
69686,77.407.311-6,AUTOMATIZACION,Y,2025-07-24,,
69687,76.279.716-K,2025-07-24,,,,
69688,77.255.997-6,BYSERVI,LIMITADA,2025-07-24,,
CAFE,ARTE,Y,BELLEZA,,,
69689,77.274.450-1,2025-07-24,,,,
69690,76.851.275-2,2025-07-24,,,,
