Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
68001,77.268.912-8,SEMAC,SPA,2025-07-24,,,,,,
Distribución,y,Logística,S.,,,,,,,
68002,99.529.250-5,2025-07-24,,,,,,,,
68003,76.771.852-7,MC,ASOCIADOS,SPA,2025-07-24,,,,,
68004,77.188.159-9,CONSTRUCCIÓN,ABARCA,2025-07-24,,,,,,
ÑIREHUAO,RENTAL,SUR,,,,,,,,
68005,77.162.106-6,2025-07-24,,,,,,,,
68006,77.269.169-6,2025-07-24,,,,,,,,
68007,77.473.038-9,TRANSFERREX,SPA,2025-07-24,,,,,,
68008,77.188.442-3,2025-07-24,,,,,,,,
68009,77.162.502-9,CONSERVAS,VALENTINA,2025-07-24,,,,,,
VEGA,MARAÑON,E.I.R.L.,,,,,,,,
68010,77.206.002-5,ACSECON,SPA,2025-07-24,,,,,,
