Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
82484,77.369.579-2,HOJALATECH,SPA,2025-07-24,,
82485,76.889.461-2,CONSTRUCCIONES,2025-07-24,,,
82486,77.899.974-9,GPS,SYSTEMS,SPA,2025-07-24,
82487,77.941.555-4,2025-07-24,,,,
82488,77.897.881-4,COMERCIALIZADORA,2025-07-24,,,
82489,78.020.995-K,3IMPRESORES,SPA,2025-07-24,,
82490,77.369.713-2,BAHNER,SERVICIOS,SPA,2025-07-24,
82491,76.889.547-3,2025-07-24,,,,
82492,78.021.286-1,GRÁFICA,LUMINO,SPA,2025-07-24,
82493,77.900.328-0,INCAR,SPA,2025-07-24,,
