Campo_1,Campo_2,Campo_3,Campo_4,Campo_5
68231,COSMOPOLITAN,CARGO,,
LINE,LOGÍSTICA,SPA,,
ING.,Y,CONSTRUCCIONES,,
68232,77.198.571-8,2025-07-24,,
68233,77.487.561-1,COMERCIALIZADORA,2025-07-24,
68234,77.296.793-4,MARCELO,ANDRES,2025-07-24
GONZALEZ,OLGUIN,E.I.R.,,
GB,CINCO,AMBIENTAL,,
68235,76.534.604-5,2025-07-24,,
68236,76.788.977-1,2025-07-24,,
INDIVIDUAL,DE,RESPO,,
68237,76.788.066-9,DISCERE,SPA,2025-07-24
68238,76.215.127-8,INVERSIONES,SCHINDLER,2025-07-24
68239,76.789.072-9,2025-07-24,,
68240,77.199.837-2,2025-07-24,,
