Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
82776,RODOLFO,DEL,CARMEN,,,
MUÑOZ,ROMERO,SPA,,,,
82777,76.902.372-0,2025-07-24,,,,
RAMIREZ,Y,CARDENAS,,,,
82778,78.033.554-8,2025-07-24,,,,
82779,77.909.327-1,2025-07-24,,,,
CONSULTORIA,F&D,SPA,,,,
82780,77.959.304-5,2025-07-24,,,,
82781,77.911.915-7,BUSCA,MEDIA,SPA,2025-07-24,
SOC,INGENIERIA,Y,,,,
82782,77.392.450-3,2025-07-24,,,,
82783,77.959.482-3,UNIFORMES,CURICO,SPA,2025-07-24,
82784,77.911.972-6,DEEPSAFE,SPA,2025-07-24,,
82785,78.034.026-6,2025-07-24,,,,
82786,77.959.589-7,2025-07-24,,,,
