Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,,,,,
76.918.405-8,TRANSPORTES,CITY,FAST,LIMITADA,2025-07-24,,,,
71337,76.729.435-2,SERVICIOS,GENERALES,HIDROCONTROL,SPA,2025-07-24,,,
71338,77.451.227-6,TRANSPORTES,ISVAL,SPA,2025-07-24,,,,
71339,77.437.731-K,TRANSPORTE,Y,TURISMO,MAVE,SPA,2025-07-24,,
71340,77.368.838-9,CONSULTORA,MELISSA,PIZARRO,VÉLIZ,E.I.R.L.,2025-07-24,,
71341,77.451.363-9,FC,SPA,2025-07-24,,,,,
71342,76.357.077-0,JARDINES,JVS,2025-07-24,,,,,
71343,77.438.009-4,ISIETE,INGENIERIA,Y,CONSTRUCCION,SPA,2025-07-24,,
71344,77.633.576-2,SOCIEDAD,FARMACEUTICA,ANGOL,SPA,2025-07-24,,,
71345,77.346.778-1,RECICLACOMP,SPA,2025-07-24,,,,,
71346,76.729.544-8,SPACEZAT,TECHNOLOGY,SPA,2025-07-24,,,,
71347,76.357.102-5,jorge,ivan,hueche,ancavil,servicios,integrale,EIR,2025-07-24
