Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
54044,COLECTIVO,ARTISTICO,,,
EVENTOS,MIGUEL,ANGEL,,,
54045,76.726.251-5,2025-07-24,,,
ROMERO,VARGAS,EIRL,,,
54046,76.663.262-9,2025-07-24,,,
ROBERT,ROQUE,E.I.R.L.,,,
VENTA,DE,COMIDA,,,
54047,76.949.472-3,2025-07-24,,,
EVENTOS,FABIAN,ALEXIS,,,
54048,76.713.839-3,2025-07-24,,,
DIAZ,FLORES,E.I.R.L.,,,
54049,76.111.408-5,CONSULTORA,EN,2025-07-24,
RIESGOS,Y,RE,,,
54050,76.663.821-K,ITSIA,SpA,2025-07-24,
WISEVISION,DE,CHILE,,,
54051,76.330.628-3,2025-07-24,,,
54052,78.105.164-0,PLAYA,SUR,SPA,2025-07-24
SOCIEDAD,COMERCIAL,Y,,,
54053,76.664.111-3,PRODUCTORA,DE,2025-07-24,
54054,76.700.551-2,MH,SERVICIO,SPA,2025-07-24
