Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
70163,MDM,CONSTRUCCIONES,,,,
70164,76.666.714-7,2025-07-24,,,,
obras,en,construcción,,,,
70165,77.887.538-1,ARCHITEKTURSTUDIO,SPA,2025-07-24,,
70166,77.295.832-3,ENELEC,SPA,2025-07-24,,
DELTA,NORTE,INGENIERÍA,,,,
70167,77.429.516-K,2025-07-24,,,,
70168,77.302.208-9,GIFTMANIA,SPA,2025-07-24,,
70169,77.887.581-0,2025-07-24,,,,
70170,77.369.517-2,2025-07-24,,,,
SERVICIO,DE,GRUAS,WSL,,,
70171,77.429.573-9,2025-07-24,,,,
SOCIEDAD,MONTECINOS,E,,,,
70172,76.864.356-3,2025-07-24,,,,
70173,77.394.340-0,2025-07-24,,,,
70174,76.298.081-9,Tripan,Consultores,2025-07-24,,
