Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
84033,INVERSIONES,ARAYA,Y,,,
84034,78.012.545-4,DELICIAS,VANI,SPA,2025-07-24,
84035,77.962.298-3,ECOGLAM,LIMITADA,2025-07-24,,
84036,78.094.068-9,LA,HIKA,SPA,2025-07-24,
84037,78.019.231-3,2025-07-24,,,,
CANAL,DE,TELEVISION,Y,,,
84038,77.949.253-2,2025-07-24,,,,
STREAMING,TOCOPILLA,7,,,,
84039,77.494.874-0,EMILR,INGENIERÍA,SPA,2025-07-24,
84040,77.949.313-K,GRUPO,SET,SPA,2025-07-24,
84041,77.970.201-4,2025-07-24,,,,
84042,77.949.618-K,ARFEC,INGENIERIA,SPA,2025-07-24,
84043,77.962.659-8,2025-07-24,,,,
V&R,HOME,SPA,,,,
