Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
CONSULTORA,ALVARO,MATIAS,ARRIAGADA,GATICA,E.I.R.L.,2025-07-24,,
75929,NUTRICLINICAL,SPA,2025-07-24,,,,,
75930,DOBLEP,SPA,2025-07-24,,,,,
75931,ITG,"CHILE,",SPA,2025-07-24,,,,
75932,MAINGER,SPA,2025-07-24,,,,,
75933,S&S,PROCUREMENT,SPA,2025-07-24,,,,
75934,SERVICIOS,INDUSTRIALES,REFRYELECT,SPA,2025-07-24,,,
75935,EMPRESA,DE,CONSTRUCCION,Y,SERVICIOS,MACLARI,SPA,2025-07-24
75936,METALHOUSE,SPA,2025-07-24,,,,,
75937,VIALCORP,SPA,2025-07-24,,,,,
75938,SOCIEDAD,DE,INVERSIONES,MAR,DORADO,SPA,2025-07-24,
75939,TURISMO,MEGAPTERA,SPA,2025-07-24,,,,
