Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
BLUENG,INGENIEROS,SPA,2025-07-24,,,,,,
75965,M&M,RUTA,7,AYSEN,SPA,2025-07-24,,,
75966,PEWÉN,MAQUINARIAS,Y,SERVICIOS,SPA,2025-07-24,,,
77.791.931-,TRANSPORTE,PRIVADO,REMUNERADO,DE,PASAJEROS,Y,,,
8,TURISMO,DAVID,VARELA,SANTANDER,E.I.R.L.,,,,
75968,SIMONA,PETS,SPA,2025-07-24,,,,,
75969,TRANSPORTES,E,INVERSIONES,FERNANDO,ARAYA,SPA,2025-07-24,,
75970,INGENIERIA,Y,CONSTRUCCION,BUSTAMANTE,HERMANOS,LIMI,2025-07-24,,
75971,SERVICIOS,DE,"INGENIERIA,",LOGISTICA,Y,TRANS.,EDDY,A,2025-07-24
75972,CAPACITACIONES,ANIMA,TERRA,SPA,2025-07-24,,,,
75973,MR,FERRETERO,SPA,2025-07-24,,,,,
75974,SERVICIOS,MEDICOS,LOSAN,SPA,2025-07-24,,,,
77.068.566-,CONSTRUCTORA,SERVICIOS,GENERALES,OLGA,ELIANA,,,,
4,GONZALEZ,NORAMBUENA,E.,,,,,,
