Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,Razón,Social,,,,,,,,
75001,CARPEDENT,MEDICAL,SPA,2025-07-24,,,,,,
75002,MF,SPA,2025-07-24,,,,,,,
75003,ASERRADERO,EL,LAUREL,SPA,2025-07-24,,,,,
75004,MULTISERVIS,O.H.M.,SPA,2025-07-24,,,,,,
75005,CMV,SPA,2025-07-24,,,,,,,
75006,SOCIEDAD,ACH,SPA,2025-07-24,,,,,,
75007,CENTRO,TRANSFORMAR,SPA,2025-07-24,,,,,,
75008,SERVICIOS,OFTALMOLOGICOS,Y,TECNOLOGICOS,SPA,2025-07-24,,,,
75009,SOCIALES,TORRES,SPA,2025-07-24,,,,,,
75010,BIOSEP,SPA,2025-07-24,,,,,,,
75011,CIMATEL,SPA,2025-07-24,,,,,,,
