Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
51915,CARMEN,ROSA,MENDEZ,,
V,Y,N,INGENIERÍA,Y,
51916,78.027.979-6,2025-07-24,,,
51917,77.889.802-0,BYC,ELECTRICIDAD,SPA,2025-07-24
51918,76.569.453-1,2025-07-24,,,
BORIS,SILVA,E.I.R.L.,,,
51919,78.028.164-2,2025-07-24,,,
R,&,B,CLIMATIZACION,Y,
51920,77.890.571-K,2025-07-24,,,
SERVICIO,DE,TERAPIAS,,,
ELABORACIÓN,Y,VENTA,,,
51921,78.028.477-3,DE,PRODUCTOS,2025-07-24,
ASEOS,Y,SERVICIOS,,,
51922,76.570.247-K,2025-07-24,,,
TORRES,&,LABBE,S.A,,
COMERCIAL,SAN,DIEGO,,,
51923,78.028.714-4,2025-07-24,,,
EFICON,CURSOS,Y,,,
51924,78.048.888-3,2025-07-24,,,
51925,78.028.900-7,2025-07-24,,,
