Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
56885,RPG,INGENIERIA,Y,,
56886,76.824.636-K,CONSTRUCCIÓN,SAN,2025-07-24,
56887,76.832.409-3,CONECTADOS,SPA,2025-07-24,
56888,76.246.686-4,2025-07-24,,,
56889,76.845.052-8,NUCLEAR-MDE,SPA,2025-07-24,
56890,76.014.335-9,VANGHAR,S.A.,2025-07-24,
56891,76.791.009-6,EMRS,SPA,2025-07-24,
56892,77.050.925-4,PEZ,RECORDS,SPA,2025-07-24
56893,78.025.556-0,2025-07-24,,,
INTEGRACIÓN,TOTAL,SPA,,,
56894,76.832.919-2,HNOS,CORONADO,2025-07-24,
56895,76.246.731-3,ESAMI,SPA,2025-07-24,
