Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ARTIHOGAR,SPA,2025-07-24,,,,,,,
75073,BANQUETERÍA,DARIO,MELLADO,E.I.R.L.,2025-07-24,,,,
75074,CENTRO,TURISTICO,Y,DE,EVENTOS,PARQUE,LEMUHUE,LIMIT,2025-07-24
75075,BHF,INGENIERÍA,Y,CONSTRUCCIÓN,SPA,2025-07-24,,,
75076,EOM,ARQUITECTURA,Y,CONSULTORIA,SPA,2025-07-24,,,
75077,FRUTOS,MILLAHUE,SPA,2025-07-24,,,,,
75078,M-INGENIERIA,SPA,2025-07-24,,,,,,
77.040.930-,SOC,DE,RADIODIFUSION,VERGARA,COMUNICACIONES,,,,
75080,MULTISERVICIOS,MARVILLE,SPA,2025-07-24,,,,,
75081,SOCIEDAD,MINERA,Y,CONSTRUCTORA,CALICHERA,SPA,2025-07-24,,
75082,MAPPACHE,LIMITADA,2025-07-24,,,,,,
75083,LAMARR,TECH,SPA,2025-07-24,,,,,
