Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
79593,SERGIO,GÓMEZ,SERVICIOS,,,,,
DE,CAPACITACIÓN,LIMITADA,,,,,,
79594,80.975.200-3,PESAMATIC,S,A,2025-07-24,,,
79595,77.183.667-4,CONSTRUCTORA,ISCON,SPA,2025-07-24,,,
CENTRO,OPTICO,OFTASUR,,,,,,
79596,76.764.073-0,2025-07-24,,,,,,
CARLOS,URIBE,EIRL,,,,,,
79597,77.722.946-K,BUSTOS,Y,ASOCIADOS,SPA,2025-07-24,,
79598,77.821.800-3,2025-07-24,,,,,,
79599,81.127.000-8,JUAN,HAPP,Y,CIA,S,A,2025-07-24
79600,76.764.099-4,TURISMO,HENOT,SPA,2025-07-24,,,
79601,77.753.930-2,CHICFRANCE,S.A,2025-07-24,,,,
79602,77.774.163-2,SPORTH,SPA,2025-07-24,,,,
INGENIERIA,Y,CONSTRUCIÓN,,,,,,
79603,77.919.031-5,2025-07-24,,,,,,
79604,81.198.400-0,AUTOMOTORA,INALCO,S,A,2025-07-24,,
